company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
 SB Komputery,S43327,06/16/2013,06/10/2013,14941.89,Fae O'Reilly IV,Quod enim qui est possimus doloremque adipisci.,accepted,
Microsoft,M1721,10/14/2013,10/07/2013,11944.29,Samir Stanton,Quaerat natus nam accusantium impedit ut error accusamus.,accepted,Other;Delegation;internal;Client
 TT Internet,T35146,2013-02-20,2013-02-18,15222.83,Vincent Herzog,Consectetur fugiat quia esse qui architecto enim.,accepted,
SB Komputery,S70005,05-05-2014,29-04-2014,11004.7,Dariana Prohaska,Laudantium et a et quia qui aut.,other,other
BP Biznes,B42810,11-04-2013,10-04-2013,11458.6,Miss Thelma Renner,Ut qui sit dignissimos quae modi asperiores.,other,important;Client;delegation;negligible;Internal
 Ostrzy Entertainment,O91289,2012-12-05,2012-11-26,11390.81,Jade Jakubowski,Voluptatem voluptatem impedit aut et.,accepted,client
Big Company 1,B42419,07-10-2014,02-10-2014,12873.83,Diamond Swaniawski,Dicta sint qui.,rejected,internal;other;Client;important;negligible
KT Koty,K45104,05/05/2015,04/28/2015,16309.36,Ms. Santiago Wisozk,Dolores voluptate autem deserunt quis reiciendis sunt.,rejected,delegation
 Comcast,C92156,2013-07-12,2013-07-05,17652.17,Nick Robel,Officia quis quia non quas necessitatibus.,rejected,Other;negligible;delegation
"Monterail, Inc.",M20550,12/14/2012,12/14/2012,15982.93,Dr. Velda Rau,Quisquam voluptatem id laudantium tempora iste quia.,rejected,delegation;Client;negligible
 SB Komputery,S56600,02/11/2015,02/10/2015,11706.43,Brad Weimann,Suscipit quod ducimus neque dignissimos voluptatem.,accepted,internal;other;important
"Monterail, Inc.",M50873,03-09-2013,31-08-2013,19780.24,Dr. Vern Wyman,Et vero veniam saepe.,accepted,
 TT Internet,T96555,08-11-2012,06-11-2012,11362.11,Raphaelle Runolfsdottir,Vero inventore molestiae voluptates.,rejected,Other
 BP Biznes,B11659,2014-07-27,2014-07-22,17020.4,Kay Klein,Ut at velit rerum dolorem.,other,Negligible;Delegation;Other;internal
Wesoła Gżegżółka,W41425,02/16/2015,02/16/2015,19989.15,Liliane Schmidt,Dolore voluptas sed.,rejected,internal
"Monterail, Inc.",M79376,05/16/2014,05/16/2014,11141.48,Birdie Wyman,Dolore dolores aliquam sint nihil eveniet sapiente.,rejected,other;internal;client
TT Internet,T64612,2013-06-27,2013-06-27,11876.78,Aurelia Thiel,"Rem repellendus fugit ut.
Nesciunt sed numquam quo dolorem enim sed vel.
Ipsum ipsa fuga culpa velit sit qui.
Tenetur qui debitis.",accepted,important;Delegation
BP Biznes,B78933,2014-01-16,2014-01-10,12942.69,Ms. Michael Hirthe,"Aut nesciunt aut fuga velit vel.
A impedit non.",rejected,internal
SB Komputery,S43407,2013-01-31,2013-01-22,13058.29,Dedrick Johnston,Voluptatem laboriosam illo est veniam tenetur consequuntur.,other,other;important
Comcast,C79530,27-08-2014,18-08-2014,14791.61,Ubaldo Labadie,"Expedita nulla dolores minima vitae iusto.
Asperiores veniam aut.
Optio voluptate ab odit vitae ut voluptas.",accepted,client;other
KT Koty,K57012,09/21/2012,09/13/2012,18633.77,Molly Emmerich,"Enim assumenda dolore odit.
Delectus ipsa adipisci perferendis eius porro.
Voluptas omnis voluptatem corporis iure maxime.
Atque incidunt omnis consectetur eos.",other,delegation;client
 KT Koty,K43978,2015-04-22,2015-04-21,11119.63,River Gaylord,Ipsa ipsum hic esse commodi.,other,client;delegation
BP Biznes,B72342,11/29/2012,11/28/2012,19261.49,Mateo McCullough,Cupiditate amet velit qui non.,rejected,important;Negligible;delegation
Company X,C48022,26-03-2013,26-03-2013,13194.30,Mrs. Enrique Williamson,Numquam doloribus culpa porro repellat ipsam.,other,Negligible;delegation;important;Other
 BP Biznes,B83734,06/04/2013,05/31/2013,19366.56,Chase Wunsch,Modi fugit rerum ut eligendi.,rejected,delegation;client
 Comcast,C46722,2014-11-26,2014-11-19,19180.26,Mable Will,"Totam rerum id non nihil est maxime illum.
Illo esse voluptatem quia et sunt quidem.
Ullam sint sapiente quibusdam sequi laudantium.",accepted,internal
TT Internet,T5033,2013-09-28,2013-09-26,17649.36,Jackie Kuhic MD,"Occaecati vero nulla ut hic veniam.
Culpa est accusamus sit labore.
Sunt rerum pariatur atque nobis aliquam tenetur impedit.
Et tenetur deleniti ipsam quae.",rejected,
Microsoft,M35700,15-05-2014,10-05-2014,15851.6,Erna Luettgen Sr.,Minus non vitae magnam deleniti.,accepted,Other;client;Negligible;important;delegation
Microsoft,M68833,12/03/2013,12/02/2013,18605.39,Linnea Bosco,"Natus rerum blanditiis assumenda.
Culpa sit laboriosam consectetur aliquam veritatis eum.
Est unde voluptatem quos rem.
Voluptas aut in alias vero nihil.",accepted,Client;Other;important
Ostrzy Entertainment,O76068,2013-04-15,2013-04-06,19039.45,Alvera Koepp,"Saepe doloremque sunt libero.
Sunt sit eum distinctio accusantium.",accepted,Internal;Other
MS Szpadel,M37116,2013-04-14,2013-04-08,14593.43,Mrs. Justyn Weber,"Eligendi nisi eos et optio distinctio eius.
Sunt voluptatem repudiandae.
Deleniti id quis.",other,client;Delegation;other;negligible
 ACME,A53461,06/08/2014,05/30/2014,14324.87,Zella Beatty,Sed quia voluptas.,accepted,Important;client
 Ostrzy Entertainment,O47652,22-05-2013,19-05-2013,11904.63,Miss Zechariah Swift,"Quas voluptatem consequuntur aperiam quo blanditiis.
Neque corrupti corporis id.
Velit molestiae expedita.
Sequi ut commodi voluptas reprehenderit facere enim.",accepted,Other
BP Biznes,B54274,11/04/2012,11/01/2012,15404.22,Michael Kihn,Hic inventore voluptatum est voluptates adipisci.,accepted,Important
Microsoft,M35652,2014-08-11,2014-08-04,12747.29,Dr. Charlie Parisian,"Voluptate quisquam fugit eos voluptas et.
Magni perferendis nesciunt quia.
Deleniti ipsam consectetur doloribus numquam et.
Et dolorem ipsum veniam officiis consequuntur corrupti.",other,
 Big Company 1,B51750,2013-02-28,2013-02-20,17921.94,Brigitte Howe,Sed sunt soluta corrupti.,rejected,Other;negligible
"Monterail, Inc.",M4269,21-10-2012,21-10-2012,13090.2,Amir Fisher,Unde rerum impedit animi qui est cumque ut.,other,internal;other;client;Delegation
 Big Company 1,B22838,21-02-2015,16-02-2015,10883.53,Sincere Bosco,Assumenda reiciendis tempore fugiat officiis.,other,Important
BP Biznes,B12072,2014-11-17,2014-11-13,13439.86,Emmy Volkman,Ut reiciendis ipsam quasi molestias veniam.,other,important;Delegation;other
ACME,A64707,2013-05-07,2013-05-05,14494.60,Joelle Botsford,Qui ea unde.,other,other
Microsoft,M49034,11-12-2012,03-12-2012,11200.59,Reuben McClure,Nisi vel eveniet cupiditate fugit voluptatem sint.,rejected,Delegation;client
SB Komputery,S59872,08-11-2014,05-11-2014,11489.10,Dr. Lenna Homenick,"Nemo nesciunt et voluptas sed.
Veritatis placeat inventore consequatur.",rejected,Negligible;internal
 SB Komputery,S33292,01/27/2015,01/20/2015,17785.67,Devante Beatty,"Dolorem exercitationem sed natus hic expedita.
Corrupti asperiores nulla voluptatem error et ab.",accepted,internal;Delegation;important
MS Szpadel,M37965,2013-03-15,2013-03-06,18779.74,Mac Hyatt,Quia vero beatae distinctio sapiente est.,rejected,delegation;client;other;internal;Important
Microsoft,M78364,01/09/2014,01/04/2014,14447.18,Watson Pacocha,"Magni corrupti debitis quidem.
Temporibus maxime voluptatem ullam consequatur voluptatum.",accepted,important
" Monterail, Inc.",M24646,2014-05-31,2014-05-31,17307.35,Lazaro Beer DDS,"Voluptate ut quaerat delectus doloremque assumenda quas.
Voluptas qui officia esse.",accepted,Other;internal
ACME,A64746,10/04/2013,09/27/2013,16279.13,Ms. Daphney Cruickshank,Possimus est amet et ut est.,rejected,negligible;important;Internal;other
 SB Komputery,S45833,2014-12-08,2014-12-03,11843.14,Adrain Sauer IV,Aut accusamus excepturi perferendis est.,other,internal;delegation
Big Company 1,B64271,2014-08-31,2014-08-26,12474.77,Yasmeen Murazik,"Culpa nisi quia dolorem quidem sed.
Accusamus et possimus quasi aut explicabo provident nihil.
In aperiam qui nihil soluta eos ad.
Id molestias ullam.",accepted,client
 Big Company 1,B88801,21-05-2013,21-05-2013,16822.80,Sage Kub,Laboriosam mollitia in et laudantium est natus.,rejected,negligible;Delegation;internal
 Ostrzy Entertainment,O32744,26-12-2014,23-12-2014,16430.1,Terrill Anderson,Dolorem id quo eos et tenetur sed.,accepted,Important;Internal;Client;delegation
 Ostrzy Entertainment,O19363,07/25/2013,07/20/2013,10808.55,Dr. Kyleigh Jacobi,Impedit voluptas non assumenda praesentium sunt qui exercitationem.,other,
 KT Koty,K79966,05-01-2014,05-01-2014,16597.56,Marlin Runolfsdottir,Id nulla architecto.,other,negligible;Internal;Important;other
 Big Company 1,B69589,2014-02-23,2014-02-14,14993.17,Hilma Kuhn,"Occaecati eos natus rerum quia dolor atque.
Eos iure deleniti rerum tempora laborum laudantium ut.
Qui dolores eaque.",rejected,internal;Delegation;Negligible;important
Company X,C17071,2015-05-27,2015-05-25,11602.36,Dr. Brandi Haley,"Beatae quidem omnis numquam molestiae autem quis labore.
Ipsam et qui repellat aperiam dolor consequatur non.
Voluptas quis nihil sapiente doloribus eligendi fuga mollitia.
Dolorum impedit quos libero consequatur unde ratione enim.",other,delegation
 TT Internet,T45720,2014-04-24,2014-04-20,17448.81,Connor Greenholt,Est impedit eum corrupti voluptatem delectus asperiores ullam.,other,Negligible;important;internal;delegation;Other
 TT Internet,T77998,11/22/2014,11/21/2014,16647.98,Shanna Morar,Quo non voluptatem rem.,other,other
 Wesoła Gżegżółka,W39082,10-10-2013,02-10-2013,16210.24,Mr. Javon Tromp,Laboriosam distinctio maiores.,accepted,Important
Wesoła Gżegżółka,W17675,08/05/2014,07/27/2014,18827.79,Marianne Nader,Voluptate et quia.,accepted,client
 Microsoft,M66458,10/27/2014,10/20/2014,12567.3,Dallas Jones,Et quae hic vitae quaerat amet.,accepted,Internal;negligible
 KT Koty,K45477,27-08-2014,20-08-2014,14428.45,Henriette Kunde,"Recusandae nisi perferendis velit et tenetur quo voluptatem.
Enim assumenda est numquam eius cumque omnis nostrum.",other,Negligible;delegation;Client
BP Biznes,B55917,11/03/2012,10/31/2012,17708.12,Vern Dibbert,"Reiciendis iusto voluptas eaque aut nulla.
Itaque harum et.
Corrupti non culpa.",rejected,internal;Other
SB Komputery,S97610,2013-08-03,2013-07-26,18899.48,Modesto Jerde,Eos sit debitis.,accepted,other;negligible
 KT Koty,K45439,2012-10-21,2012-10-12,13389.7,Idell Beahan,"Quos consequatur voluptatem sunt aspernatur natus.
Quia omnis nulla voluptas laboriosam at non.",other,other;important;client
 SB Komputery,S21968,04-06-2014,29-05-2014,13488.52,Ewell Ledner PhD,"Laboriosam nemo distinctio.
Explicabo illo saepe expedita.",rejected,important;internal;negligible;delegation;client
Company X,C64943,17-08-2013,10-08-2013,13606.86,Milan Reichel,Amet voluptatem in perspiciatis animi.,accepted,negligible;Other;client
 Big Company 1,B67185,2015-03-06,2015-03-02,13306.57,Coy Schumm,"Quaerat vel esse.
Molestiae aliquid nulla et voluptatem expedita dignissimos itaque.",rejected,delegation;internal;client;important
Comcast,C18865,14-12-2012,08-12-2012,13531.55,Frankie Schultz,Totam ullam rem eum beatae ut earum.,rejected,client;Internal
Ostrzy Entertainment,O5021,2014-09-18,2014-09-17,14297.56,Talia Conroy,"Tempore quis autem laboriosam nobis assumenda voluptatem.
Et distinctio deleniti voluptatem quis.
Debitis ullam qui sunt similique aut.
Dolorem quaerat impedit harum consequatur omnis sint id.",rejected,Internal;Other;Negligible;delegation;client
Company X,C47238,01/16/2015,01/11/2015,10503.63,Maia Mraz,Nulla possimus dolorum asperiores ad.,other,Internal;Other;client
Ostrzy Entertainment,O46110,13-06-2014,05-06-2014,16219.78,Dr. Cristina Bechtelar,"Distinctio aut molestiae est delectus consectetur est.
Aliquam aspernatur et et.
Qui est sunt.
Dolorem eveniet asperiores.",rejected,Negligible;Other;Delegation;important;client
 Company X,C17815,09-04-2014,07-04-2014,15352.56,Violet Grady,Vero commodi inventore cupiditate et sit.,accepted,Other;internal
 Comcast,C22487,07/23/2013,07/21/2013,13094.26,Eugenia Mills III,Sed repellendus qui quia rem aut ratione.,accepted,Client;delegation;internal;other
 Ostrzy Entertainment,O39753,2012-11-04,2012-10-30,16389.46,Dr. Jesse Reilly,Voluptatum at placeat sit impedit.,other,
 Wesoła Gżegżółka,W97503,21-03-2015,21-03-2015,16582.14,Claire Hermiston,Quia enim harum aut sunt molestiae rerum.,accepted,
MS Szpadel,M37871,2013-03-22,2013-03-13,10099.6,Ms. Enoch Miller,"Autem amet nesciunt sed maxime modi.
Magni non dolorum eos esse.
Ea dolore quos et deserunt velit.
Quis molestiae consectetur.",other,delegation;Client
"Monterail, Inc.",M66273,2014-04-14,2014-04-07,11213.32,Dr. Adrien Kovacek,Magni quas et accusamus est soluta.,rejected,internal;delegation;important;negligible;other
 Big Company 1,B38158,2013-02-27,2013-02-19,10441.89,Myrtie Corwin,"Et eos corporis.
Occaecati enim est et et quaerat et consequatur.",other,delegation;other;negligible;Internal
BP Biznes,B18074,2015-05-22,2015-05-21,12673.75,Darrin Altenwerth,Error voluptatibus ullam deleniti.,other,Other;negligible;internal;client
MS Szpadel,M83648,18-12-2013,11-12-2013,11081.90,Ms. Ross Weber,"Aut cumque consequuntur.
Tempore maiores rem qui explicabo eos.",accepted,important;client
 Wesoła Gżegżółka,W61169,2014-04-19,2014-04-13,13230.87,Marcella Lindgren,"Quod officia excepturi.
Laboriosam corporis sequi.",rejected,internal
MS Szpadel,M25709,2012-11-26,2012-11-23,12261.2,Furman Carroll I,Doloremque nihil accusamus.,accepted,Internal;other;negligible;Delegation
BP Biznes,B15537,2014-01-29,2014-01-28,19272.12,Jayden Cartwright,Iusto omnis maiores aliquid.,other,
 Ostrzy Entertainment,O34181,01/22/2015,01/21/2015,19482.26,Roel Keebler DVM,Nulla perspiciatis et est odit.,other,
Big Company 1,B10217,20-01-2014,19-01-2014,19610.48,Lenna Abbott,Ut et quibusdam exercitationem quia.,other,negligible;internal;other;Important
SB Komputery,S35653,15-08-2013,09-08-2013,10448.36,Era Smith PhD,Dolores aliquam et error sit.,rejected,Important
 Ostrzy Entertainment,O6462,27-02-2014,18-02-2014,17712.19,Maurice Jones,Illum sed ut tempore minus.,accepted,important;internal;Negligible
" Monterail, Inc.",M93000,03/02/2013,02/23/2013,10088.30,Jedidiah Zulauf Jr.,"Sit dolor corrupti adipisci eaque.
Est molestiae a sunt natus quia sapiente repudiandae.
Laudantium consequatur veritatis.
Officiis praesentium explicabo et est sequi.",other,negligible;Delegation;Other;internal
 MS Szpadel,M43300,2013-10-26,2013-10-23,15572.64,Meredith Lang,Aperiam dolor perferendis nam.,rejected,negligible
KT Koty,K1910,13-03-2015,11-03-2015,11848.51,Frederick Morissette,Voluptatem amet praesentium laborum libero tenetur qui.,rejected,Important;Internal;negligible
 KT Koty,K38817,2013-08-02,2013-08-02,14584.6,Marjorie Hoeger,Dolor ut beatae.,accepted,delegation;negligible
" Monterail, Inc.",M18904,2013-02-07,2013-01-30,10695.32,Carleton O'Reilly I,"Vero id numquam ipsa praesentium dicta sit harum.
Commodi dolorem sed et.",rejected,Client
ACME,A28384,12-08-2014,04-08-2014,17895.13,Lorena McLaughlin,Velit accusamus quaerat non blanditiis occaecati aspernatur et.,accepted,other
 KT Koty,K66151,02-04-2013,29-03-2013,11487.89,Ken Hudson DDS,Voluptatem aut quisquam.,other,negligible
MS Szpadel,M91352,13-08-2014,09-08-2014,10424.33,Assunta Shields,Velit libero iusto dolorem atque omnis voluptatibus odit.,rejected,Important;negligible
 Ostrzy Entertainment,O92938,03/12/2015,03/08/2015,11093.34,Delbert Abbott,"Enim rerum fuga quia eveniet quam est.
Fuga modi dignissimos et ex.",rejected,delegation;important
KT Koty,K99968,11/02/2013,10/31/2013,17876.5,Samir Bins,A mollitia vel omnis et quaerat.,accepted,Other
 MS Szpadel,M66983,2014-11-16,2014-11-07,12666.0,Eduardo Braun,Beatae accusantium porro minima voluptas quo.,other,other;delegation
 Microsoft,M92001,2014-02-20,2014-02-13,19866.61,Jerome Howe,Voluptas non praesentium.,rejected,
TT Internet,T70420,2014-03-06,2014-03-03,11282.86,Dr. Teresa Hirthe,"Praesentium ad fugiat.
Velit qui et nesciunt nostrum eum error maxime.
Esse dolor necessitatibus a nihil ut sed.
Accusamus voluptatibus eaque.",accepted,
 Comcast,C9331,2015-02-22,2015-02-21,17694.1,Miss Jo Ritchie,"Et architecto dicta.
Est dolore eos consequatur quibusdam.
Dolor et quia enim enim.
Minus qui et assumenda sed quia nisi.",accepted,
MS Szpadel,M38916,09/22/2014,09/16/2014,11515.88,Mr. Jayda Batz,Provident quos beatae qui iusto et.,accepted,Internal;Negligible;Other
 Microsoft,M80996,01/11/2013,01/10/2013,16429.21,Jacinto Turner II,Non quas odit blanditiis impedit qui eum at.,rejected,client;delegation
 TT Internet,T70920,12/12/2012,12/09/2012,13651.26,Evan Koepp,Occaecati doloremque magnam repudiandae reprehenderit.,rejected,internal;other;client;delegation;Negligible
Company X,C62689,02/11/2014,02/09/2014,18093.15,Kayli Schmidt,Hic cum et odio atque neque placeat sint.,rejected,Internal
Big Company 1,B92514,2014-01-19,2014-01-18,17316.42,Ludie Treutel,Fuga eos aspernatur vitae optio atque eum.,other,Delegation;internal;Negligible;Important
Wesoła Gżegżółka,W21433,08/26/2013,08/26/2013,16467.95,Chester Lind,"Sapiente et quis est aut eaque iusto ea.
Ut minima quaerat mollitia labore dolor.
Et iusto veritatis animi distinctio et.",rejected,client;internal;other;negligible
Wesoła Gżegżółka,W44932,2014-02-28,2014-02-23,17226.63,Rowena Stark,"Accusantium tenetur non asperiores repellat incidunt cupiditate.
Itaque dolorem non cupiditate ipsa.",accepted,internal;important;Negligible
Comcast,C41556,2013-01-10,2013-01-04,10093.83,Timmothy Rau V,Est iure dicta nostrum.,accepted,negligible;Internal;important;delegation;client
 ACME,A7506,2015-04-04,2015-03-28,12182.27,Miss Yvette Ullrich,"Voluptatum dignissimos enim odit necessitatibus.
Distinctio atque totam aliquid velit voluptates tempore.
Vitae quis velit quae natus quasi.",accepted,Delegation;Client;Negligible;other
"Monterail, Inc.",M40564,2015-03-08,2015-03-07,10347.71,Tyra Schaefer,"Natus qui qui omnis facere.
Et quo veritatis et odit mollitia.
Enim quia sed beatae quod cupiditate consequatur.
Voluptatibus voluptas dicta.",accepted,important;Client
 MS Szpadel,M8668,02/17/2014,02/09/2014,14827.41,Mr. Jennifer Marquardt,Accusamus et veniam reprehenderit eum sapiente.,other,Delegation;Internal;client;other;negligible
Comcast,C2080,2012-09-15,2012-09-08,19614.48,Miss Morton Haley,Eveniet delectus quisquam nemo.,accepted,other;Delegation;important
Comcast,C30832,09/04/2014,09/01/2014,19551.38,Landen Fay,"Ab incidunt quisquam cumque suscipit optio reprehenderit.
Quam et facere dolore quis ut.",accepted,negligible;Important;delegation;Client;other
 Comcast,C31550,10/17/2012,10/13/2012,14676.20,Dock Farrell,"Commodi voluptatibus omnis numquam nihil.
Placeat beatae voluptas consequatur.",other,negligible
Microsoft,M62663,2013-08-08,2013-07-31,19855.54,Gabriella Welch,Dolor ut perferendis voluptatibus.,accepted,other;negligible;delegation;Client
 Microsoft,M44505,11/28/2012,11/20/2012,15946.10,Augustus Schumm,Ipsum odio ut necessitatibus corporis.,other,
Big Company 1,B5970,02/09/2013,02/01/2013,18131.75,Ms. Noemi Klocko,"Recusandae et nihil numquam hic quae praesentium suscipit.
Odio beatae vitae nostrum sapiente deserunt.",other,negligible;Other;client;delegation
SB Komputery,S95204,02-05-2013,28-04-2013,19006.27,Ashly Watsica,"Rerum temporibus mollitia veniam.
Quia id quia illo mollitia numquam.
Suscipit vero ipsam eos.
Aliquam repudiandae debitis adipisci.",rejected,delegation;important
 KT Koty,K95941,07-09-2013,29-08-2013,12958.71,Mrs. Elmer Kuhn,Impedit qui magni ad sit.,rejected,Negligible
Wesoła Gżegżółka,W76480,04-08-2014,30-07-2014,15583.1,Lia Terry,Totam ipsam qui velit qui vel.,accepted,negligible;client;Important
 Comcast,C25884,05-11-2013,30-10-2013,15217.89,Vilma Beahan,Ipsa aut eum repellendus.,rejected,Client;internal
" Monterail, Inc.",M35624,2013-04-21,2013-04-21,15504.4,Lisa Zulauf,Quos eos quia quod aliquam illum mollitia illo.,rejected,important
Comcast,C79146,2013-09-03,2013-08-27,19448.27,Miss Charles Lynch,"Nostrum dignissimos ipsa.
Esse necessitatibus non.",rejected,delegation;Other;client;important
 TT Internet,T20708,2014-07-15,2014-07-07,14594.2,Clovis Bednar,Molestiae dolorum doloribus mollitia quo.,rejected,Negligible;internal
 Comcast,C28253,02/23/2014,02/14/2014,10405.55,Merle Brekke,Sunt numquam quos.,accepted,delegation
 Ostrzy Entertainment,O61035,2013-06-12,2013-06-09,14808.61,Walter Roberts,Animi qui nemo.,other,
 Microsoft,M48891,21-03-2015,20-03-2015,18301.64,Imani Hagenes DVM,Deserunt ab assumenda illum numquam.,other,negligible;Client;important;other;Internal
ACME,A96193,09/09/2012,09/01/2012,15268.56,Elnora Schmeler,Sed ad quam ex illum qui voluptatem provident.,other,delegation;client;internal;important;negligible
Wesoła Gżegżółka,W46720,2014-04-16,2014-04-08,10725.28,Leslie Ratke,"Molestiae est velit eum.
Aliquam necessitatibus deserunt laboriosam explicabo delectus.
Et ad placeat quas consequatur aut tempore accusantium.
Harum fuga sunt voluptas.",accepted,Important;Internal;client;negligible
Comcast,C39732,12/02/2012,11/25/2012,16390.99,Dr. Vesta O'Connell,Placeat quia sed libero sint ut dolores.,rejected,other
"Monterail, Inc.",M95739,07/24/2014,07/23/2014,14594.98,Theresa Heller,Autem nisi libero autem veritatis natus iusto.,accepted,internal;client;Other
 ACME,A18314,12/07/2012,12/05/2012,14855.0,Alverta Koss,Delectus non vel laboriosam ea.,other,delegation;internal;important;Negligible
Wesoła Gżegżółka,W53614,12-02-2013,10-02-2013,19749.30,Kenya Greenfelder,"Impedit debitis omnis eius repellat hic.
Excepturi delectus veniam expedita deserunt.
Accusamus et eum ut laborum officia cumque quo.",other,Delegation;negligible;client;important;internal
TT Internet,T30182,2013-04-14,2013-04-06,18803.87,Erna Predovic,Occaecati est commodi.,rejected,internal
 KT Koty,K20666,09/23/2014,09/17/2014,12723.90,Eloise King,"Non atque sit eum.
Quod et cumque porro est ullam sint.
Sit aut qui magni corporis quae expedita reprehenderit.",accepted,internal;other
ACME,A27510,2015-05-07,2015-04-28,14087.98,Dr. Mavis Bergnaum,Voluptatem adipisci doloribus dolore autem qui.,rejected,other;important;Negligible;Delegation
 MS Szpadel,M97804,2013-08-08,2013-08-05,16515.19,Mrs. Alexandro Schoen,Est ipsum voluptatem.,rejected,
MS Szpadel,M3593,12/04/2014,11/28/2014,11759.12,Kari Bechtelar,Et sit ut consequatur eos rem nostrum.,accepted,Delegation;internal;other;Client
" Monterail, Inc.",M68315,14-05-2014,08-05-2014,11206.0,Jadon Franecki,Et dolorem possimus voluptatem minus illum.,rejected,other;important;internal
 SB Komputery,S152,2014-12-30,2014-12-27,19631.12,Delores Beier DVM,Quia illo sunt.,rejected,important;client
Microsoft,M87087,15-06-2014,09-06-2014,13305.90,Brando Nienow,Quibusdam voluptate labore mollitia voluptas voluptates.,other,internal;delegation;important;Client
 KT Koty,K74197,2014-05-18,2014-05-11,11037.32,Betsy Emmerich,Animi velit et hic eos odio rerum.,rejected,internal;client
 Company X,C64678,24-10-2013,22-10-2013,18409.17,Beaulah Hirthe,"Quia omnis vel asperiores.
Et nulla sunt eius perferendis voluptate.
Alias velit cum.
Doloremque ut totam rerum.",rejected,Client;negligible;internal;other;Delegation
 TT Internet,T15798,11/23/2014,11/16/2014,14149.55,Eunice Torphy DVM,Incidunt ipsum omnis nam voluptatibus.,accepted,Delegation
 Wesoła Gżegżółka,W39239,10/23/2012,10/22/2012,10923.34,Dr. Brayan Fadel,Ipsum possimus sit sunt alias.,other,negligible;Important;delegation;internal;client
 Microsoft,M32956,08/31/2013,08/26/2013,14268.44,Hilton Graham,Voluptas omnis id hic at molestias.,rejected,client;Negligible;other
 Ostrzy Entertainment,O55450,01-09-2014,31-08-2014,14503.16,Irma Farrell,Iure sed suscipit velit cumque quod assumenda perspiciatis.,rejected,other;client
 TT Internet,T24549,20-02-2013,17-02-2013,16984.61,Casandra Effertz,Exercitationem deserunt tempora aspernatur veniam quisquam veritatis.,rejected,client;Delegation;other
Comcast,C55775,04/15/2015,04/13/2015,13495.87,Antwan Denesik,Numquam repellat incidunt dolorem.,accepted,Client;negligible;important
Comcast,C94367,12/02/2014,12/01/2014,19017.0,Gerhard Fritsch DVM,"In labore officia laborum quis amet sed ut.
Porro consectetur velit molestiae qui sit.
Rerum non itaque rem ab.",accepted,other;Internal
Ostrzy Entertainment,O81807,2013-02-17,2013-02-10,18501.65,Gladyce Turner,"Ut voluptas eaque sit.
Et ipsum sequi explicabo velit rerum placeat.
Necessitatibus asperiores suscipit et.",accepted,internal;delegation;important
 KT Koty,K12429,10/07/2012,09/30/2012,11377.15,Kendall Schiller,"Et non voluptates et.
Quas et quia id eum dolores et et.
Aspernatur amet assumenda provident eos nobis.",accepted,Negligible;Client
 Microsoft,M57339,05/28/2013,05/20/2013,19989.77,Talon Morissette,Non alias aut dignissimos libero.,other,Negligible
KT Koty,K69072,03/12/2015,03/08/2015,19956.36,Aylin Stoltenberg,"Rerum provident debitis saepe.
Id laudantium repellendus.
Quia earum et.
Sint voluptas ex repellat id exercitationem voluptas et.",other,other;delegation
 BP Biznes,B25795,01-03-2014,26-02-2014,10621.38,Laila Marvin,"Incidunt excepturi enim fuga.
Voluptatem dolores ipsam sit ad perferendis.
Quibusdam quia aut neque et corporis quas qui.
Eum qui expedita repellendus nam voluptatum molestias commodi.",other,negligible;Important;Other
" Monterail, Inc.",M67815,05-06-2014,04-06-2014,15331.57,Theodora Reynolds,Beatae qui odit placeat quia molestiae quisquam quos.,other,Negligible;other;Internal;delegation
 Wesoła Gżegżółka,W87583,2013-12-29,2013-12-21,18488.86,Maximillia O'Reilly,Ab praesentium quibusdam molestiae iusto consequuntur.,rejected,delegation;Other
Microsoft,M51647,2013-07-27,2013-07-25,16444.68,Hilton Rath,"Non voluptatem tempore odio sed nobis ad in.
Mollitia nemo omnis fugit quia sit.
Blanditiis autem cum saepe repellat omnis.",other,delegation;important;other;Negligible
 Comcast,C84775,02/20/2013,02/15/2013,13720.14,Dallas Oberbrunner,Deleniti distinctio velit ut.,other,delegation;important;client
KT Koty,K27881,11/01/2012,10/31/2012,15534.24,Miss Maxie White,"Sequi autem reiciendis occaecati.
Nihil et voluptatem aspernatur modi.",other,
 Big Company 1,B26093,2012-10-21,2012-10-13,16038.26,Urban Rice Sr.,Et neque dicta corrupti reprehenderit hic consectetur est.,accepted,Client;other;internal;Important
 Big Company 1,B63602,01/30/2014,01/23/2014,19425.70,Brenna Mueller,"Voluptatum ea quis modi consequatur vel reiciendis atque.
Corporis sunt fugiat.
Aut harum dolores.",rejected,negligible;internal;important
"Monterail, Inc.",M10121,2014-01-08,2014-01-06,13516.83,Ona Ratke,Rerum repellendus qui eaque similique tempora aut.,accepted,Delegation;negligible;Other
" Monterail, Inc.",M17456,20-01-2014,16-01-2014,14400.59,Kathlyn Jerde,Excepturi est tempore nostrum accusamus aut voluptatum et.,rejected,client;negligible;internal;important;other
SB Komputery,S34696,26-01-2013,22-01-2013,10513.33,Delta Schoen PhD,Et ab minus.,accepted,delegation
